20.0 # 80.0 # 0.0 # 1.5 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
地阶高级	25	1170.05628	2.69302	2.23430	2.69302	2.23430
记忆尤深	25	24115.49061	3.44386	1.60098	3.44386	1.60098
多少年	25	267.44682	2.61210	2.31963	2.61210	2.31963
少有人	25	510.65405	3.04386	2.44943	2.44943	3.04386
成一团	25	207.89813	3.34268	3.29947	3.34268	3.29947
湖泊之中	25	94.23146	2.61151	2.19294	2.61151	2.19294
一大片	25	252.11927	4.05366	3.31508	3.31508	4.05366
三更	25	134.82218	3.41444	2.57536	3.41444	2.57536
来到此处	25	277.18376	4.29366	2.99249	4.29366	2.99249
理会周围	25	108.61945	2.14268	2.00154	2.14268	2.00154
冰河尊者	25	489.96948	4.29366	3.14741	3.14741	4.29366
不好说	25	102.23059	3.05947	2.96888	3.05947	2.96888
轻轻拍了拍	25	178.77764	4.01947	3.37581	3.37581	4.01947
一柄	25	138.78125	4.48386	2.34347	2.34347	4.48386
长老席	25	860.39276	2.33924	2.06291	2.33924	2.06291
这条命	25	144.44133	3.58928	2.62581	3.58928	2.62581
红色液体	25	618.67740	3.85123	3.23508	3.85123	3.23508
再度回复	25	109.92486	3.15508	3.12322	3.12322	3.15508
功法路线	25	584.14406	2.64386	2.26282	2.26282	2.64386
不逊色	25	115.31260	3.44386	3.15508	3.15508	3.44386
我魂殿	25	3012.61161	3.97366	2.08386	2.08386	3.97366
寒铁棍	25	17754.59309	2.96489	2.55151	2.55151	2.96489
玄阶中级	25	2459.97374	3.74928	1.73336	3.74928	1.73336
雪魔天猿	25	49002.67692	4.01947	3.36852	3.36852	4.01947
两者接触	25	448.41143	2.17924	1.66918	1.66918	2.17924
一抹戏谑	25	164.87944	3.29780	2.38928	3.29780	2.38928
万药山脉	25	1926.76515	4.00163	2.64082	4.00163	2.64082
有些忐忑	25	151.35494	4.10347	1.64568	4.10347	1.64568
犹如实质	25	128.98700	4.24386	1.99830	4.24386	1.99830
斗气之翼	25	616.70810	3.02268	2.77151	3.02268	2.77151
火焰柱	25	201.91482	2.91508	2.78242	2.78242	2.91508
可曾	25	197.41607	3.82928	3.07508	3.07508	3.82928
这片大陆	25	81.53165	3.43327	2.44735	3.43327	2.44735
雪魅	25	28087.95414	3.39341	2.28903	2.28903	3.39341
菩提丹	25	472.66470	3.85539	2.63662	3.85539	2.63662
有些幸灾乐祸	25	91.94459	3.82928	1.53947	3.82928	1.53947
究竟是否	25	315.10918	3.86347	3.23508	3.23508	3.86347
黑石碑	25	904.26243	3.25469	3.04145	3.04145	3.25469
泛起一阵	25	144.47356	3.97366	3.18268	3.97366	3.18268
低吼声	25	727.64061	2.91937	1.86438	2.91937	1.86438
几天时间	25	214.80807	3.59327	2.65288	3.59327	2.65288
到哪里	25	82.07316	3.12322	1.78953	3.12322	1.78953
帝品丹药	25	286.08354	2.75508	2.70915	2.75508	2.70915
先把	25	125.66812	4.48386	2.66347	2.66347	4.48386
斗帝层次	25	337.81330	2.99741	1.73620	2.99741	1.73620
五色火焰	25	165.72254	3.12489	2.04945	2.04945	3.12489
我儿子	25	116.60129	4.16386	4.00386	4.16386	4.00386
银色卷轴	25	272.61736	3.17366	2.29972	3.17366	2.29972
变幻成	25	299.00887	3.36749	2.08386	3.36749	2.08386
未曾看见	25	94.94605	3.25366	3.17366	3.17366	3.25366
看台之上	25	292.21780	2.10953	2.08150	2.08150	2.10953
阳光从	25	82.60683	2.63662	2.07174	2.07174	2.63662
更高	25	196.55501	4.24386	2.16154	4.24386	2.16154
星辰之力	25	939.65696	3.31249	3.12489	3.31249	3.12489
转移向	25	216.74220	3.82928	3.26760	3.82928	3.26760
使得自己	25	112.66179	4.37366	3.71908	3.71908	4.37366
黑骷墓	25	6148.98456	3.46423	2.65288	3.46423	2.65288
五星斗宗	25	317.31667	3.67327	3.33869	3.67327	3.33869
能坚持	24	84.90363	3.40311	2.18432	2.18432	3.40311
不会拒绝	24	186.39965	3.11991	1.76175	3.11991	1.76175
相当之大	24	1990.94114	3.02206	1.78416	3.02206	1.78416
血宗少宗主	24	6245.43922	3.16830	3.08233	3.08233	3.16830
这位曾经	24	156.92606	3.08496	3.03416	3.03416	3.08496
攻击范围	24	290.06229	2.64164	2.51103	2.51103	2.64164
吞噬而进	24	334.85556	3.97018	1.61220	3.97018	1.61220
银色闪电	24	195.07734	3.11479	3.09580	3.09580	3.11479
何时出现	24	108.34539	2.05982	1.66251	2.05982	1.66251
三大首领	24	3035.78794	4.05351	2.48426	2.48426	4.05351
